Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
.gitattributes;3305;Jule;Bufler;31;"09.04.2023 18:57";.gitattributes
.gitignore;1402;Jule;Bufler;29;"09.04.2023 18:57";.gitignore
